   step,          time,        volume,    temperature,  pressure,     ekinet,    epotential,    energy,      density
           55,  0.5500E-01,  0.8682E+04,  0.7071E+03,  0.3035E+05,  0.1951E+04, -0.1725E+04,  0.2258E+03,  0.1065E+01
           56,  0.5600E-01,  0.8680E+04,  0.7706E+03,  0.4338E+05,  0.2126E+04, -0.1925E+04,  0.2014E+03,  0.1065E+01
           57,  0.5700E-01,  0.8680E+04,  0.7270E+03,  0.3312E+05,  0.2006E+04, -0.1791E+04,  0.2144E+03,  0.1065E+01
           58,  0.5800E-01,  0.8681E+04,  0.6463E+03,  0.5931E+04,  0.1783E+04, -0.1540E+04,  0.2434E+03,  0.1065E+01
           59,  0.5900E-01,  0.8683E+04,  0.6602E+03, -0.2263E+05,  0.1821E+04, -0.1583E+04,  0.2389E+03,  0.1065E+01
           60,  0.6000E-01,  0.8684E+04,  0.7443E+03, -0.3979E+05,  0.2053E+04, -0.1846E+04,  0.2073E+03,  0.1064E+01
           61,  0.6100E-01,  0.8684E+04,  0.7594E+03, -0.4081E+05,  0.2095E+04, -0.1895E+04,  0.2002E+03,  0.1065E+01
           62,  0.6200E-01,  0.8682E+04,  0.6814E+03, -0.2581E+05,  0.1880E+04, -0.1652E+04,  0.2280E+03,  0.1065E+01
           63,  0.6300E-01,  0.8679E+04,  0.6375E+03,  0.1193E+04,  0.1759E+04, -0.1512E+04,  0.2465E+03,  0.1065E+01
           64,  0.6400E-01,  0.8677E+04,  0.6997E+03,  0.2943E+05,  0.1931E+04, -0.1704E+04,  0.2268E+03,  0.1065E+01
           65,  0.6500E-01,  0.8674E+04,  0.7683E+03,  0.4353E+05,  0.2120E+04, -0.1919E+04,  0.2005E+03,  0.1066E+01
           66,  0.6600E-01,  0.8673E+04,  0.7311E+03,  0.3441E+05,  0.2017E+04, -0.1807E+04,  0.2105E+03,  0.1066E+01
           67,  0.6700E-01,  0.8674E+04,  0.6475E+03,  0.7631E+04,  0.1786E+04, -0.1547E+04,  0.2394E+03,  0.1066E+01
           68,  0.6800E-01,  0.8675E+04,  0.6541E+03, -0.2131E+05,  0.1805E+04, -0.1568E+04,  0.2364E+03,  0.1066E+01
           69,  0.6900E-01,  0.8676E+04,  0.7388E+03, -0.3920E+05,  0.2038E+04, -0.1835E+04,  0.2039E+03,  0.1066E+01
           70,  0.7000E-01,  0.8675E+04,  0.7618E+03, -0.4095E+05,  0.2102E+04, -0.1908E+04,  0.1937E+03,  0.1066E+01
           71,  0.7100E-01,  0.8673E+04,  0.6859E+03, -0.2663E+05,  0.1892E+04, -0.1672E+04,  0.2206E+03,  0.1066E+01
           72,  0.7200E-01,  0.8670E+04,  0.6348E+03, -0.2639E+02,  0.1751E+04, -0.1509E+04,  0.2420E+03,  0.1066E+01
           73,  0.7300E-01,  0.8667E+04,  0.6923E+03,  0.2854E+05,  0.1910E+04, -0.1686E+04,  0.2243E+03,  0.1067E+01
           74,  0.7400E-01,  0.8664E+04,  0.7666E+03,  0.4379E+05,  0.2115E+04, -0.1919E+04,  0.1965E+03,  0.1067E+01
           75,  0.7500E-01,  0.8663E+04,  0.7361E+03,  0.3586E+05,  0.2031E+04, -0.1827E+04,  0.2035E+03,  0.1067E+01
           76,  0.7600E-01,  0.8663E+04,  0.6488E+03,  0.9486E+04,  0.1790E+04, -0.1557E+04,  0.2327E+03,  0.1067E+01
           77,  0.7700E-01,  0.8663E+04,  0.6469E+03, -0.1987E+05,  0.1785E+04, -0.1553E+04,  0.2318E+03,  0.1067E+01
