  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
           54,  0.530000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           55,  0.540000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           56,  0.550000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           57,  0.560000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           58,  0.570000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           59,  0.580000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           60,  0.590000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           61,  0.600000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           62,  0.610000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           63,  0.620000E-04,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
