       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.900000E-02,      17,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.102940E+01, -0.157201E+01,  0.972043E+01, -0.559963E+00, -0.414417E+01, -0.286999E+01,  0.659687E+01,  0.266525E+01,  0.625476E+01
              1,  0.900000E-02,      17,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.173042E+01, -0.221171E+01,  0.999768E+01,  0.274497E+01,  0.950757E+01,  0.166677E-03,  0.156236E+02,  0.390104E+01, -0.260745E+01
              1,  0.900000E-02,      17,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.126304E+01, -0.781139E+00,  0.102624E+02, -0.385647E+01, -0.627155E+01,  0.151167E+01,  0.520003E-01,  0.504555E+01, -0.135920E+02
              1,  0.900000E-02,      18,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.273179E+01, -0.344158E+01,  0.892872E+01,  0.597630E+01,  0.129370E+02,  0.110710E+02,  0.366428E+01,  0.550330E+01,  0.302114E+01
              1,  0.900000E-02,      18,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.281481E+01, -0.368422E+01,  0.800264E+01,  0.542821E+01, -0.225924E+01, -0.187969E+02, -0.807704E+01, -0.997568E+01,  0.477745E+01
              1,  0.900000E-02,      18,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.241543E+01, -0.428998E+01,  0.927003E+01, -0.594989E+01, -0.870888E+01,  0.924949E+01, -0.527532E+01, -0.325959E+01,  0.842823E+01
              1,  0.900000E-02,      19,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.447713E+01,  0.998101E+01,  0.708968E+01, -0.946705E+01, -0.535464E+00,  0.326743E+01,  0.413731E+01,  0.232604E+01,  0.218962E+01
              1,  0.900000E-02,      19,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.367781E+01,  0.103739E+02,  0.748790E+01,  0.687701E+01,  0.608137E+01, -0.531546E+00,  0.539892E+01,  0.123542E+02,  0.188691E+02
              1,  0.900000E-02,      19,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.413614E+01,  0.914149E+01,  0.675151E+01,  0.497151E+01, -0.740593E+01, -0.354541E+01,  0.473973E+01,  0.150817E+00,  0.813395E+01
              1,  0.900000E-02,      20,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.794463E+01, -0.399282E+01, -0.600514E+01,  0.414494E+01,  0.408937E+01,  0.127748E+02,  0.615886E+01,  0.810597E+01,  0.879966E+01
